Morphotype I (values of s),"Morphotype I (values of E, C, T)",Morphotype II (values of s),"Morphotype II (values of E, C, T)",Morphotype III (values of s),"Morphotype III (values of E, C, T)",Morphotype IV (values of s),"Morphotype IV (values of E, C, T)",Morphotype V (values of s),"Morphotype V (values of E, C, T)",Morphotype VI (values of s),"Morphotype VI (values of E, C, T)",Morphotype VII (values of s),"Morphotype VII (values of E, C, T)",Morphotype VIII (values of s),"Morphotype VIII (values of E, C, T)"
s,E,s,E,s,E,s,E,s,E,s,E,s,E,s,E
0,1.04,0,1.04,0,1.04,0,1.0358,0,1.033,0,1.032,0,1.032,0,1.032
882,1.038,882,1.038,582,1.038,1952,1.032,2250,1.026,1030,1.031,1030,1.031,1030,1.031
1760,1.037,1760,1.037,1699,1.037,2038,1.029,2342,1.024,1222,1.027,1222,1.027,1222,1.027
1788,1.031,1788,1.031,1741,1.036,2084,1.023,2396,1.017,2284,1.024,2284,1.024,2284,1.024
1830,1.013,1830,1.013,1765,1.03,2114,1.018,2452,1.008,2386,1.022,2386,1.022,2386,1.022
1878,1.006,1878,1.006,1787,1.019,2150,1.012,2490,1.004,2408,1.018,2408,1.018,2408,1.018
1940,1.004,1940,1.004,1809,1.011,2176,1.008,2556,1.002,2426,1.013,2426,1.013,2426,1.013
1976,1.004,1976,1.004,1835,1.006,2195,1.006,2622,1.003,2436,1.005,2436,1.005,2436,1.005
2000,1.008,2000,1.008,1863,1.004,2218,1.004,2648,1.004,2446,1.001,2446,1.001,2446,1.001
s,C,s,C,1889,1.004,2242,1.003,2674,1.005,2486,1.001,2486,1.001,2486,1.001
0,0.235,0,0.235,1924,1.006,2270,1.003,2700,1.008,2510,1.001,2510,1.001,2510,1.001
356,0.24,356,0.24,2000,1.008,2295,1.004,s,C,2616,1.004,2616,1.004,2616,1.004
558,0.25,558,0.25,s,C,2350,1.008,0,0.42,2700,1.008,2700,1.008,2700,1.008
742,0.27,742,0.27,0,0.54,s,C,1224,0.42,s,C,s,C,s,C
796,0.325,796,0.325,66,0.55,0,0.49,1304,0.4,0,0.385,0,0.385,0,0.385
854,0.41,854,0.41,140,0.56,816,0.485,1408,0.355,716,0.375,716,0.375,716,0.375
898,0.475,898,0.475,192,0.58,958,0.47,1468,0.33,976,0.37,976,0.37,976,0.37
930,0.51,930,0.51,210,0.6,1110,0.42,1548,0.325,1112,0.355,1112,0.355,1112,0.355
974,0.515,974,0.515,222,0.645,1236,0.375,1804,0.325,1220,0.34,1220,0.34,1220,0.34
