genus,species,family,subclass,habitat,W,Traup,D,Delta,Gamma
Pachymelania,aurita,Hemisinidae,Caenogastropoda,F,1.340162,3.509003,-0.018955,0.059678,-0.545985
Melanopsis,praemorsa,Melanopsidae,Caenogastropoda,F,1.709230,2.710332,-0.199985,0.074002,-0.167731
Microcolpia,parreyssii,Melanopsidae,Caenogastropoda,F,1.554293,3.100560,-0.100602,0.246831,-0.787060
Brotia,swinhoei,Pachychilidae,Caenogastropoda,F,1.322716,4.947418,-0.029974,0.313189,0.261640
Doryssa,lamarckiana,Pachychilidae,Caenogastropoda,F,1.169884,6.690304,-0.013095,-0.077732,-0.128565
Bridouxia,giraudi,Paludomidae,Caenogastropoda,F,1.664301,2.484460,-0.101274,0.327462,-0.248633
Chytra,kirki,Paludomidae,Caenogastropoda,F,1.891968,0.986479,0.124208,0.843831,0.153715
Lavigeria,grandis,Paludomidae,Caenogastropoda,F,1.804668,1.914825,-0.032439,0.380238,-0.033480
Lavigeria,grandis,Paludomidae,Caenogastropoda,F,1.796777,1.802850,0.025239,0.460521,0.268077
Lavigeria,nassa,Paludomidae,Caenogastropoda,F,1.842639,1.915838,0.024096,0.279929,0.031109
Paramelania,iridescens,Paludomidae,Caenogastropoda,F,1.469509,2.651863,-0.027439,-0.047831,0.118884
Reymondia,horei,Paludomidae,Caenogastropoda,F,1.624396,3.031522,-0.009042,0.135126,0.016307
Reymondia,tanganyicensis,Paludomidae,Caenogastropoda,F,1.476110,3.290996,-0.070320,0.286841,-0.037517
Spekia,zonata,Paludomidae,Caenogastropoda,F,7.392196,1.250839,-0.833961,0.890482,1.480136
Stanleya,neritinoides,Paludomidae,Caenogastropoda,F,2.612070,1.741156,-0.015196,0.298420,0.240625
Syrnolopsis,gracilis,Paludomidae,Caenogastropoda,F,1.309869,4.785953,-0.113025,0.561784,-0.020290
Tanganyicia,rufofilosa,Paludomidae,Caenogastropoda,F,2.084682,1.745506,0.044124,0.277822,-0.088189
Tiphobia,horei,Paludomidae,Caenogastropoda,F,1.818696,1.208336,-0.024899,0.226108,0.156512
Paludomus,petrosa,Paludomidae,Caenogastropoda,F,2.313977,1.872432,-0.014671,0.408959,0.073984
Elimia,floridensis,Pleuroceridae,Caenogastropoda,F,1.483713,3.782416,-0.007129,0.304722,0.118625
Io,fluvialis,Pleuroceridae,Caenogastropoda,F,1.716900,1.803609,-0.009152,0.111605,-0.173536
Lithasia,armigera,Pleuroceridae,Caenogastropoda,F,1.533238,3.032124,-0.121684,0.344563,-0.125521
Melanoides,polymorpha,Thiaridae,Caenogastropoda,F,1.417950,4.459957,-0.059572,0.450503,0.011943
Melanoides,tuberculata,Thiaridae,Caenogastropoda,F,1.280651,6.303679,-0.148481,0.259934,-0.030370
Stenomelania,hastula,Thiaridae,Caenogastropoda,F,1.251242,8.742946,-0.278206,0.346393,0.321751
Stenomelania,sp.,Thiaridae,Caenogastropoda,F,1.245970,9.150219,-0.224459,0.197396,0.515368
Stenomelania,sp.,Thiaridae,Caenogastropoda,F,1.281974,6.914552,-0.446795,0.276518,0.110281
Stenomelania,crenulata,Thiaridae,Caenogastropoda,F,1.336203,5.372198,-0.220945,0.217009,-0.063649
Gen.,Gen. et sp. indet.,Thiaridae,Caenogastropoda,F,1.551364,3.016119,-0.131486,0.218948,-0.007042
Lanistes,nsendweensis,Ampullariidae,Caenogastropoda,F,2.124241,1.477435,0.018998,0.246119,0.255251
Lanistes,nsendweensis,Ampullariidae,Caenogastropoda,F,2.364828,1.040970,0.103285,0.390211,0.073807
Asolene,pulchella,Ampullariidae,Caenogastropoda,F,1.982591,1.415430,0.016423,0.232337,-0.130661
