"pop","is.embryo","T","W","S","expansion","tan.lead","tan.beta","sin.beta","cot.spiral"
1,TRUE,0.76,2.76,0.74,0.161578981057425,0.242455458220589,0.657894736842105,0.549616501476276,0.293984952459436
2,TRUE,0.75,2.71,0.74,0.158669303251717,0.235063376153284,0.666666666666667,0.554700196225229,0.286045154358105
3,TRUE,0.84,2.64,0.73,0.154504263315129,0.256523412053604,0.595238095238095,0.511483859767683,0.302070652601443
4,TRUE,0.8,2.55,0.71,0.148983885307456,0.23577195678104,0.625,0.52999894000318,0.281102232594205
5,TRUE,0.9,2.42,0.7,0.140655972561997,0.250712833004411,0.555555555555556,0.485642931178632,0.289628374123828
1,FALSE,1.08,2.45,0.79,0.14261683855364,0.304966540376836,0.462962962962963,0.420123568111038,0.339464027678512
2,FALSE,1.27,2.07,0.78,0.115792957187803,0.292161977820036,0.393700787401575,0.366332317137036,0.316087202168646
3,FALSE,1.5,1.83,0.75,0.0961798733140654,0.287214230647163,0.333333333333333,0.316227766016838,0.304147464738894
4,FALSE,1.45,1.89,0.71,0.101314349004502,0.292315193468022,0.344827586206897,0.325990683319404,0.310789093641779
5,FALSE,1.49,1.94,0.72,0.105470066642473,0.312567118449114,0.335570469798658,0.318135941554253,0.33152515282366
