"genus","species","family","habitat","repo","W","Traup","D","Delta","Gamma","expansion","T.centerline","tan.lead","tan.beta","sin.beta","cot.spiral"
"Haliotis","gigantea","Haliotidae","M","SPMN",16.815,0.696,-0.184,1.136,-0.138,0.449178435333957,1.392,0.570359962846594,0.718390804597701,0.58344367945065,0.769874541715641
"Haliotis","diversicolor aquatilis","Haliotidae","M","SUM",11.907,0.449,-0.241,1.102,0.088,0.394246921165688,0.898,0.329361406064296,1.11358574610245,0.74403361450759,0.529877835461245
"Perotrochus","hirasei","Pleurotomariodae","M","SPMN",1.68,1.256,0.016,0.902,0.056,0.0825685966674195,2.512,0.206708885239215,0.398089171974522,0.369859717804462,0.223243009964854
"Perotrochus","africanus westralis","Pleurotomariodae","M","SPMN",1.929,1.146,0.003,0.9,-0.1,0.104565073573886,2.292,0.238363574974516,0.43630017452007,0.399895592892397,0.261480935105034
"Chlorostoma","xanthostigma","Trochidae","M","UMUT",2.127,1.192,-0.655,1.086,-0.567,0.120116230752532,2.384,0.284313415193272,0.419463087248322,0.386811567770304,0.310529055387141
"Chlorostoma","xanthostigma","Trochidae","M","UMUT",1.893,1.308,-0.231,1.102,-0.166,0.101566775612678,2.616,0.264338749070918,0.382262996941896,0.357064165957005,0.284449646019388
"Granata","lyrata","Trochidae","M","UMUT",2.826,1.261,-0.321,0.798,0.286,0.165340067732088,2.522,0.411402244864805,0.396510705789056,0.368592771095912,0.448571108002183
"Euchelus","atrata","Trochidae","M","UMUT",2.296,1.437,-0.175,0.883,-0.409,0.132284571888652,2.874,0.376902414861894,0.34794711203897,0.328622590238595,0.402542539125528
"Cittarium","pica","Trochidae","M","UMUT",2.142,1.417,-0.248,0.965,-0.206,0.121234681898549,2.834,0.341081648644444,0.352858151023289,0.332750495185971,0.364341101373245
"Lischkeia","alwinae","Trochidae","M","SPMN",1.678,1.354,-0.165,1.03,-0.408,0.0823790136276209,2.708,0.222329247773232,0.369276218611521,0.34641160258904,0.237806739185206
"Trochus","erythraeus","Trochidae","M","SPMN",1.611,1.434,-0.16,1.103,-0.38,0.0758938469712092,2.868,0.217039390608207,0.348675034867504,0.329235632796242,0.230515288781572
"Trochus","maculatus","Trochidae","M","UMUT",1.441,1.917,-0.274,1.183,-0.131,0.0581452398992476,3.834,0.222552956031124,0.260824204486176,0.252380801284446,0.230386937529828
"Tectus","conus","Trochidae","M","SPMN",1.465,2.092,-0.151,1.067,-0.279,0.0607741493845005,4.184,0.253810748387112,0.239005736137667,0.232458489130758,0.261440868912793
"Tectus","triserialis","Trochidae","M","SUM",1.402,2.054,0.059,1.012,-0.147,0.0537784216273697,4.108,0.220602981365954,0.243427458617332,0.236520565439074,0.227373131497196
"Tegula","regina","Trochidae","M","SPMN",1.693,1.626,0.019,1.309,0.517,0.0837954122647604,3.252,0.271550977571202,0.30750307503075,0.293920613395462,0.285095391223942
"Bankivia","fasciata","Trochidae","M","UMUT",1.425,4.146,-0.078,0.42,-0.112,0.0563681948574577,8.292,0.466664276409897,0.120598166907863,0.119730633604375,0.470791752791641
"Monodonta","turbinata","Trochidae","M","UMUT",1.857,1.56,-0.181,0.922,-0.462,0.0985109068267175,3.12,0.305873453668031,0.32051282051282,0.305218682064767,0.3227551674108
"Fossarina","petterdi","Trochidae","M","UMUT",4.377,0.962,0.059,0.733,-0.63,0.234970558089663,1.924,0.440097425077433,0.51975051975052,0.461178478948606,0.50950026684972
"Stomatia","phymotis","Trochidae","M","UMUT",5.293,2.259,-0.091,0.483,-0.415,0.265213440541333,4.518,1.15819383708049,0.221336874723329,0.216106632947704,1.22723415252836
"Calliostoma","granulatum","Trochidae","M","SPMN",1.746,1.512,-0.081,0.797,-0.429,0.0887014197688187,3.024,0.26718405845438,0.330687830687831,0.313966310821091,0.282518909550662
"Umbonium","giganteum","Trochidae","M","UMUT",1.91,0.96,0.172,0.778,-0.192,0.102989679664408,1.92,0.196699751860551,0.520833333333333,0.461934418836969,0.222953032864944
"Liotina","peronii","Turbinidae","M","UMUT",2.344,NA,-0.331,0.441,-0.319,0.13557755025009,NA,NA,NA,NA,NA
"Cookia","sulcata","Turbinidae","M","UMUT",1.734,1.271,-0.141,0.897,0.06,0.0876037951211452,2.542,0.221839229906367,0.3933910306845,0.366082733359771,0.239300538206624
"Astraea","undosa","Turbinidae","M","SPMN",1.878,1.413,0.082,1.041,-0.483,0.1003006198251,2.826,0.282034438354715,0.353857041755131,0.333587772512095,0.300672350997107
"Angaria","delphinus","Turbinidae","M","UMUT",2.494,0.998,0.047,0.535,-0.291,0.145449768322697,1.996,0.287294691674243,0.501002004008016,0.447930140156879,0.324715296612449
"Angaria","delphinus","Turbinidae","M","SPMN",2.388,0.679,0.087,0.303,-0.201,0.138537406263621,1.358,0.1863539869538,0.736377025036819,0.592956292894354,0.233638478794768
"Angaria","neglecta","Turbinidae","M","UMUT",2.344,0.998,0.002,0.656,-0.466,0.13557755025009,1.996,0.268159456835108,0.501002004008016,0.447930140156879,0.302675658759212
"Turbo","cornutus","Turbinidae","M","SUM",2.039,1.463,-0.282,0.632,-0.375,0.113391449839656,2.926,0.329670760533969,0.341763499658236,0.32339814938549,0.35062491871125
"Turbo","petholatus","Turbinidae","M","SPMN",2.292,1.331,-0.051,0.516,-0.378,0.132007056660375,2.662,0.348380479281874,0.375657400450789,0.351662920927523,0.375379514883748
"Astralium","haematragum","Turbinidae","M","SUM",1.542,1.899,-0.013,1.07,-0.244,0.0689268665443102,3.798,0.261164589127148,0.263296471827278,0.254618627554999,0.270706299873608
"Astralium","haematragum","Turbinidae","M","SUM",1.833,1.357,0.016,1.015,-0.129,0.0964405694298343,2.714,0.260530938628359,0.368459837877671,0.345737402580163,0.278941672813295
"Guildfordia","triumphans","Turbinidae","M","SUM",2.102,0.888,0.157,0.684,-0.182,0.118234499881117,1.776,0.208531955008783,0.563063063063063,0.49063390186629,0.240983143299663
"Phasianella","australis","Turbinidae","M","UMUT",1.724,2.455,-0.145,0.411,-0.417,0.0866832897032579,4.91,0.424024873906119,0.203665987780041,0.199568997239386,0.434352484114956
"Phasianella","australis","Turbinidae","M","SPMN",1.689,2.805,-0.041,0.274,-0.03,0.0834189367655208,5.61,0.466360412806195,0.17825311942959,0.17548694443027,0.475356939152059
"Nerita","albicilla","Neritidae","M","SUM",19.372,0.189,-0.021,-0.006,-0.211,0.471707991988445,0.378,0.161264622031178,2.64550264550265,0.935403355768626,0.504282980255977
"Nerita","costata","Neritidae","M","SPMN",4.819,1.013,-0.283,0.634,-0.758,0.250281721893715,2.026,0.49189827915864,0.493583415597236,0.442604585429884,0.565474760390533
"Nerita","exuvia","Neritidae","M","SPMN",8.479,0.873,-0.048,0.345,-0.209,0.340208415607178,1.746,0.562350967287812,0.572737686139748,0.496995057745687,0.684530782157723
"Nerita","japonica","Neritidae","M","UMUT",3.513,1.044,-0.064,0.696,-0.543,0.199973470756618,2.088,0.409438261533875,0.478927203065134,0.431944528007054,0.462961000291575
"Neritina","cornucopia","Neritidae","M","UMUT",9.654,0.263,-0.031,0.066,-0.153,0.3608635153013,0.526,0.17854461232124,1.90114068441065,0.885033384044629,0.407740003718439
"Lanistes","olivaceus","Ampullariidae","F","UMUT",1.763,2.104,-0.059,0.358,0.296,0.0902435429952737,4.208,0.37820790857347,0.237642585551331,0.231203743937028,0.390320422405673
"Pomacea","canaliculata","Ampullariidae","F","SPMN",2.183,0.563,0.065,0.286,-0.28,0.124252276417143,1.126,0.138840415440777,0.88809946714032,0.664034046929009,0.187117327781276
"Pomacea","depressa","Ampullariidae","F","UMUT",2.487,1.064,0.011,0.218,-0.105,0.145002434319454,2.128,0.305371553722123,0.469924812030075,0.425305402375269,0.340937203030191
"Pomacea","glauca","Ampullariidae","F","UMUT",2.169,1.124,0.05,0.253,-0.154,0.123228298067225,2.248,0.274937586241673,0.444839857651246,0.406440131440424,0.303189297844443
"Cyclopharus","miyakoensis","Cyclophoridae","L","UMUT",2.029,1.096,0.181,0.56,-0.37,0.112608975583641,2.192,0.24528854860208,0.456204379562044,0.415053399556904,0.271312018414638
"Cyclophorus","appendiculayus","Cyclophoridae","L","SPMN",2.339,0.764,0.239,0.332,-0.268,0.13523769331315,1.528,0.20477905420269,0.654450261780105,0.547603411964347,0.24696283908829
"Cyclophorus","turgidus turgidus","Cyclophoridae","L","SPMN",2.027,1.033,0.135,0.561,-0.033,0.112452018033354,2.066,0.230870722233248,0.484027105517909,0.435674802518306,0.258109987962016
"Cyclophorus","zebrinus","Cyclophoridae","L","SPMN",2.062,0.987,0.007,0.657,-0.088,0.115176673966284,1.974,0.225865561568036,0.506585612968592,0.451907257019913,0.254867945086371
"Leptopoma","nitidum","Cyclophoridae","L","UMUT",1.974,1.338,0.088,0.569,-0.26,0.108235219520616,2.676,0.287955677899137,0.373692077727952,0.350049087324778,0.309200119182697
