genus,species,family,repo,habitat,W,Traup,D,Delta,Gamma,OneOverLambda,E
Haliotis,gigantea,Haliotidae,SPMN,M,16.815,0.696,-0.184,1.136,-0.138,0.203,0.809
Haliotis,diversicolor aquatilis,Haliotidae,SUM,M,11.907,0.449,-0.241,1.102,0.088,0.332,0.792
Perotrochus,hirasei,Pleurotomariodae,SPMN,M,1.680,1.256,0.016,0.902,0.056,0.181,0.822
Perotrochus,africanus westralis,Pleurotomariodae,SPMN,M,1.929,1.146,0.003,0.900,-0.100,0.220,0.811
Chlorostoma,xanthostigma,Trochidae,UMUT,M,2.127,1.192,-0.655,1.086,-0.567,0.184,0.558
Chlorostoma,xanthostigma,Trochidae,UMUT,M,1.893,1.308,-0.231,1.102,-0.166,0.193,0.783
Granata,lyrata,Trochidae,UMUT,M,2.826,1.261,-0.321,0.798,0.286,0.199,0.781
Euchelus,atrata,Trochidae,UMUT,M,2.296,1.437,-0.175,0.883,-0.409,0.195,0.802
Cittarium,pica,Trochidae,UMUT,M,2.142,1.417,-0.248,0.965,-0.206,0.221,0.782
Lischkeia,alwinae,Trochidae,SPMN,M,1.678,1.354,-0.165,1.030,-0.408,0.235,0.783
Trochus,erythraeus,Trochidae,SPMN,M,1.611,1.434,-0.160,1.103,-0.380,0.222,0.789
Trochus,maculatus,Trochidae,UMUT,M,1.441,1.917,-0.274,1.183,-0.131,0.183,0.755
Tectus,conus,Trochidae,SPMN,M,1.465,2.092,-0.151,1.067,-0.279,0.179,0.800
Tectus,triserialis,Trochidae,SUM,M,1.402,2.054,0.059,1.012,-0.147,0.200,0.814
Tegula,regina,Trochidae,SPMN,M,1.693,1.626,0.019,1.309,0.517,0.138,0.799
Bankivia,fasciata,Trochidae,UMUT,M,1.425,4.146,-0.078,0.420,-0.112,0.147,0.810
Monodonta,turbinata,Trochidae,UMUT,M,1.857,1.560,-0.181,0.922,-0.462,0.238,0.799
Fossarina,petterdi,Trochidae,UMUT,M,4.377,0.962,0.059,0.733,-0.630,0.167,0.809
Stomatia,phymotis,Trochidae,UMUT,M,5.293,2.259,-0.091,0.483,-0.415,0.135,0.809
Calliostoma,granulatum,Trochidae,SPMN,M,1.746,1.512,-0.081,0.797,-0.429,0.199,0.806
Umbonium,giganteum,Trochidae,UMUT,M,1.910,0.960,0.172,0.778,-0.192,0.184,0.809
Liotina,peronii,Turbinidae,UMUT,M,2.344,1.060.,-0.331,0.441,-0.319,0.197,0.764
Cookia,sulcata,Turbinidae,UMUT,M,1.734,1.271,-0.141,0.897,0.060,0.174,0.799
Astraea,undosa,Turbinidae,SPMN,M,1.878,1.413,0.082,1.041,-0.483,0.174,0.808
Angaria,delphinus,Turbinidae,UMUT,M,2.494,0.998,0.047,0.535,-0.291,0.211,0.809
Angaria,delphinus,Turbinidae,SPMN,M,2.388,0.679,0.087,0.303,-0.201,0.161,0.817
Angaria,neglecta,Turbinidae,UMUT,M,2.344,0.998,0.002,0.656,-0.466,0.164,0.809
Turbo,cornutus,Turbinidae,SUM,M,2.039,1.463,-0.282,0.632,-0.375,0.237,0.786
Turbo,petholatus,Turbinidae,SPMN,M,2.292,1.331,-0.051,0.516,-0.378,0.229,0.808
Astralium,haematragum,Turbinidae,SUM,M,1.542,1.899,-0.013,1.070,-0.244,0.193,0.807
Astralium,haematragum,Turbinidae,SUM,M,1.833,1.357,0.016,1.015,-0.129,0.189,0.808
Guildfordia,triumphans,Turbinidae,SUM,M,2.102,0.888,0.157,0.684,-0.182,0.181,0.809
Phasianella,australis,Turbinidae,UMUT,M,1.724,2.455,-0.145,0.411,-0.417,0.190,0.804
Phasianella,australis,Turbinidae,SPMN,M,1.689,2.805,-0.041,0.274,-0.030,0.153,0.809
Nerita,albicilla,Neritidae,SUM,M,19.372,0.189,-0.021,-0.006,-0.211,0.318,0.810
Nerita,costata,Neritidae,SPMN,M,4.819,1.013,-0.283,0.634,-0.758,0.232,0.791
Nerita,exuvia,Neritidae,SPMN,M,8.479,0.873,-0.048,0.345,-0.209,0.212,0.809
Nerita,japonica,Neritidae,UMUT,M,3.513,1.044,-0.064,0.696,-0.543,0.160,0.808
Neritina,cornucopia,Neritidae,UMUT,M,9.654,0.263,-0.031,0.066,-0.153,0.235,0.810
Lanistes,olivaceus,Ampullariidae,UMUT,F,1.763,2.104,-0.059,0.358,0.296,0.150,0.807
Pomacea,canaliculata,Ampullariidae,SPMN,F,2.183,0.563,0.065,0.286,-0.280,0.158,0.811
Pomacea,depressa,Ampullariidae,UMUT,F,2.487,1.064,0.011,0.218,-0.105,0.165,0.811
Pomacea,glauca,Ampullariidae,UMUT,F,2.169,1.124,0.050,0.253,-0.154,0.162,0.815
Cyclopharus,miyakoensis,Cyclophoridae,UMUT,L,2.029,1.096,0.181,0.560,-0.370,0.184,0.810
Cyclophorus,appendiculayus,Cyclophoridae,SPMN,L,2.339,0.764,0.239,0.332,-0.268,0.152,0.810
Cyclophorus,turgidus turgidus,Cyclophoridae,SPMN,L,2.027,1.033,0.135,0.561,-0.033,0.164,0.812
Cyclophorus,zebrinus,Cyclophoridae,SPMN,L,2.062,0.987,0.007,0.657,-0.088,0.188,0.817
Leptopoma,nitidum,Cyclophoridae,UMUT,L,1.974,1.338,0.088,0.569,-0.260,0.191,0.810
Pterocyclus,perrieri,Cyclophoridae,SHIN,L,2.441,0.404,0.241,0.795,0.046,0.145,0.817
Pupinella,rufa,Pupinidae,UMUT,L,1.328,4.363,-0.149,-0.133,-0.664,0.141,0.785
Orcula,dolium,Pupinidae,UMUT,L,1.187,4.793,0.215,0.151,-1.052,0.126,0.802
Cipangopaludina,chinensis laeta,Viviparidae,UMUT,F,1.969,1.519,-0.057,0.526,-0.102,0.192,0.811
Heterogen,longispira,Viviparidae,UMUT,F,1.540,2.430,0.037,0.609,-0.396,0.186,0.809
Heterogen,longispira,Viviparidae,SPMN,F,1.535,2.412,0.047,0.549,-0.213,0.171,0.809
Melantho,poderosa,Viviparidae,UMUT,F,1.763,2.120,-0.041,0.367,-0.182,0.173,0.809
Sinotaia,quadrata histrica,Viviparidae,SPMN,F,1.700,2.119,0.000,0.580,-0.327,0.196,0.809
Tulotoma,angulata,Viviparidae,UMUT,F,1.862,1.586,-0.064,0.770,-0.533,0.199,0.806
Viviparus,contectoides,Viviparidae,SPMN,F,1.924,1.644.,0.015,0.364,-0.214,0.175,0.809
Cerithium,nodulosus,Certhiidae,SPMN,M,1.252,4.863,0.053,-0.333,-0.369,0.130,0.808
Rhinoclavis,fasciata,Certhiidae,SPMN,M,1.136,9.584,-0.432,-0.025,-0.109,0.108,0.710
Rhinoclavis,vertagus,Certhiidae,SUM,M,1.250,4.722,-0.143.,0.088,-0.103,0.138,0.811
Turritella,rubescens,Turritellidae,SPMN,M,1.169,9.464,0.023,0.358,-0.479,0.101,0.809
Turritella,fortilirata,Turritellidae,SUM,M,1.205,6.865,-0.091,0.492,-0.446,0.126,0.806
Modulus,candidus,Modulidae,UMUT,M,2.402,0.809,-0.201,0.625,-0.140,0.192,0.791
Planaxis,sulcatus,Modulidae,UMUT,M,1.648,2.487,-0.095,0.495,-0.032,0.175,0.811
Quoyia,decollata,Modulidae,UMUT,M,1.535,2.997,-0.183,0.452,-0.554,0.183,0.797
Certhidea,obtusa,Potamididae,UMUT,M,1.264,4.570,-0.069,-0.174,-0.393,0.143,0.800
Tympanotonus,fuscatus,Potamididae,UMUT,M,1.169,6.431,-0.138,-0.319,0.414,0.135,0.797
Telebralia,palustris,Potamididae,SUM,M,1.199.,4.763,0.018,-0.228,-0.187,0.149,0.823
Anculosa,praerosa,Pleuroceridae,UMUT,F,3.522,1.280,-0.116,0.144,-0.217,0.193,0.806
Semisulcospira,niponica,Pleuroceridae,UMUT,F,1.414,3.829,-0.063,0.296,-0.179,0.147,0.809
Melanoides,tuberculatus,Thiaridae,UMUT,F,1.337,5.027,-0.074,0.366,0.173,0.128,0.809
Semisulcospira,reticulata,Thiaridae,SUM,F,1.192,6.254,-0.214,0.656,-0.369,0.137,0.810
Faunus,ater,Thiaridae,SPMN,F,1.235,6.318,-0.176,-0.160,-0.181,0.123,0.786
